repeat,fold,algo,auc,best,spec
2,5,random_forest,0.7590008613264428,"{""clf__min_samples_leaf"": 10}",M0
2,6,random_forest,0.803789836347976,"{""clf__min_samples_leaf"": 10}",M0
2,7,random_forest,0.7962962962962963,"{""clf__min_samples_leaf"": 10}",M0
2,8,random_forest,0.7782084409991387,"{""clf__min_samples_leaf"": 10}",M0
2,9,random_forest,0.7905254091300603,"{""clf__min_samples_leaf"": 10}",M0
3,0,random_forest,0.7813782489740082,"{""clf__min_samples_leaf"": 10}",M0
3,1,random_forest,0.7912106703146374,"{""clf__min_samples_leaf"": 10}",M0
3,2,random_forest,0.8158344733242133,"{""clf__min_samples_leaf"": 10}",M0
3,3,random_forest,0.8018518518518518,"{""clf__min_samples_leaf"": 10}",M0
3,4,random_forest,0.7631352282515073,"{""clf__min_samples_leaf"": 10}",M0
3,5,random_forest,0.7904392764857882,"{""clf__min_samples_leaf"": 10}",M0
3,6,random_forest,0.8008613264427218,"{""clf__min_samples_leaf"": 10}",M0
3,7,random_forest,0.7464254952627045,"{""clf__min_samples_leaf"": 10}",M0
3,8,random_forest,0.7259259259259259,"{""clf__min_samples_leaf"": 10}",M0
3,9,random_forest,0.8147286821705427,"{""clf__min_samples_leaf"": 10}",M0
4,0,random_forest,0.7622264021887825,"{""clf__min_samples_leaf"": 10}",M0
4,1,random_forest,0.8206224350205199,"{""clf__min_samples_leaf"": 10}",M0
4,2,random_forest,0.8366963064295486,"{""clf__min_samples_leaf"": 10}",M0
4,3,random_forest,0.7477272727272727,"{""clf__min_samples_leaf"": 10}",M0
4,4,random_forest,0.7627045650301465,"{""clf__min_samples_leaf"": 10}",M0
4,5,random_forest,0.8330749354005168,"{""clf__min_samples_leaf"": 10}",M0
4,6,random_forest,0.7900086132644272,"{""clf__min_samples_leaf"": 10}",M0
4,7,random_forest,0.7483204134366924,"{""clf__min_samples_leaf"": 10}",M0
4,8,random_forest,0.7861326442721792,"{""clf__min_samples_leaf"": 10}",M0
4,9,random_forest,0.7571059431524548,"{""clf__min_samples_leaf"": 10}",M0
0,0,xgboost,0.7946306429548564,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
0,1,xgboost,0.8297708618331052,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
0,2,xgboost,0.7802667578659371,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
0,3,xgboost,0.7554713804713805,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
0,4,xgboost,0.7877691645133507,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
0,5,xgboost,0.8332472006890612,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
0,6,xgboost,0.7701119724375538,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
0,7,xgboost,0.762962962962963,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
0,8,xgboost,0.7435831180017227,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
0,9,xgboost,0.7596899224806203,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
1,0,xgboost,0.8582421340629274,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
1,1,xgboost,0.8396032831737346,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
1,2,xgboost,0.7859097127222981,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
1,3,xgboost,0.746969696969697,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
1,4,xgboost,0.7916451335055986,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
1,5,xgboost,0.7773471145564169,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
1,6,xgboost,0.8275624461670974,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
1,7,xgboost,0.7242894056847544,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
1,8,xgboost,0.7724375538329027,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
1,9,xgboost,0.732730404823428,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
2,0,xgboost,0.7763337893296853,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
2,1,xgboost,0.7754787961696307,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
2,2,xgboost,0.7924931600547196,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
2,3,xgboost,0.7730639730639731,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
2,4,xgboost,0.7936261843238588,"{""clf__learning_rate"": 0.05, ""clf__max_depth"": 2}",M0
